name,x0,x1,y0,y1,z0,z1,N
vert_-1D,0.45,0.45,0.5,0.5,0,0.8,100
vert_+0D,0.9,0.9,0.5,0.5,0,0.8,100
vert_+1D,1.35,1.35,0.5,0.5,0,0.8,100
vert_+2D,1.8,1.8,0.5,0.5,0,0.8,100
vert_+3D,2.25,2.25,0.5,0.5,0,0.8,100
Vert_+4D,2.7,2.7,0.5,0.5,0,0.8,100
vert_+5D,3.15,3.15,0.5,0.5,0,0.8,100
cross_-1D,0.45,0.45,0,1,0.4,0.4,100
cross_+0D,0.9,0.9,0,1,0.4,0.4,100
cross_+1D,1.35,1.35,0,1,0.4,0.4,100
cross_+2D,1.8,1.8,0,1,0.4,0.4,100
cross_+3D,2.25,2.25,0,1,0.4,0.4,100
cross_+4D,2.7,2.7,0,1,0.4,0.4,100
cross_+5D,3.15,3.15,0,1,0.4,0.4,100
